Date,AAPL,MSFT,NVDA,GOOGL,CRM,ADBE,INTC,ORCL,IBM,AMD,QCOM,ADSK,PANW,SNPS,CDNS,ANET,NOW,FTNT,WDAY,TEAM,NET,DOCU,ZM,CRWD,ZS,OKTA,TWLO,JPM,BAC,GS,V,AXP,COF,MS,SCHW,TROW,BK,STT,BLK,KEY,RF,CFG,FITB,HBAN,JNJ,UNH,PFE,ABBV,CI,HUM,BMY,GILD,REGN,ILMN,ZTS,VRTX,EXAS,HSIC,TECH,AMZN,HD,MCD,EBAY,BBY,F,GM,DG,DLTR,ROST,TJX,LULU,MAR,HLT,KMX,ULTA,DHI,LEN,PG,KO,WMT,MDLZ,KMB,TGT,HSY,GIS,CL,EL,CLX,ADM,STZ,XOM,CVX,COP,HAL,SLB,OXY,EOG,VLO,MPC,APA,DVN,CAT,BA,GE,DAL,LUV,MMM,DE,EMR,ETN,ITW,ROK,PH,CMI,FDX,UPS,PWR,URI,JCI,META,NFLX,DIS,T,CMCSA,CHTR,EA,TTWO,WBD,LYV,OMC,LIN,NEM,FCX,DOW,APD,ECL,SHW,NUE,DD,PPG,AA,VMC,MLM,NEE,DUK,SO,AEP,EXC,SRE,ED,PPL,D,XEL,WEC,ES,SPG,PLD,O,WELL,AVB,EQR,DLR,VTR,PSA,ARE
2015-01-02,27.332500,46.759998,0.503250,26.477501,59.240002,72.339996,36.360001,44.330002,154.933075,2.670000,74.279999,59.529999,20.236668,43.099998,18.830000,3.917500,13.476000,6.158000,80.410004,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,62.490002,17.900000,194.410004,66.254997,93.019997,82.489998,38.709999,30.219999,85.760002,40.459999,78.349998,356.730011,13.860000,10.510000,24.760000,20.209999,10.500000,104.519997,100.779999,29.724857,65.889999,102.830002,142.990005,59.509998,94.910004,410.160004,180.369644,43.310001,123.070000,26.790001,53.662746,22.860001,15.426000,103.430000,93.260002,23.657408,38.790001,15.360000,34.840000,70.779999,70.349998,46.865002,33.980000,55.340000,77.750000,53.228882,66.470001,126.839996,24.959999,42.158428,90.440002,42.139999,28.633333,36.790001,115.550003,75.330002,103.709999,53.110001,69.040001,75.589996,103.870003,52.020000,97.500000,92.830002,112.580002,68.919998,39.490002,85.669998,80.512894,92.239998,50.340000,45.820000,63.830002,60.959999,91.879997,129.949997,120.098480,49.180000,42.689999,137.173920,88.339996,61.790001,67.930000,94.680000,111.040001,129.160004,146.419998,172.449997,110.379997,28.350000,103.589996,45.664921,78.449997,4.984857,93.750000,25.581572,26.874414,166.429993,46.869999,28.100000,34.480000,26.160000,75.930000,129.949997,19.340000,23.549999,49.799999,134.532837,104.309998,87.480003,49.009998,27.149317,114.699997,38.159641,66.980003,110.849998,26.672501,84.050003,49.369999,61.150002,26.797432,56.044998,66.339996,33.865704,77.489998,36.119999,53.189999,53.740002,185.339996,43.430000,47.112404,76.949997,165.809998,73.410004,66.410004,83.715881,187.229996,89.790001
2015-01-05,26.562500,46.330002,0.494750,25.973000,58.169998,71.980003,35.950001,43.590000,152.495224,2.660000,73.930000,58.660000,20.621668,42.540001,18.400000,3.987500,13.430000,6.104000,80.010002,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,60.549999,17.379999,188.339996,64.792503,90.559998,80.589996,37.500000,29.209999,83.790001,39.419998,77.050003,347.500000,13.440000,10.150000,24.180000,19.600000,10.190000,103.790001,99.120003,29.563566,64.650002,101.059998,139.199997,58.580002,96.790001,412.470001,185.525299,43.049999,121.029999,26.620001,53.180393,22.584999,15.109500,101.260002,92.230003,23.459597,37.790001,14.760000,34.330002,70.320000,69.620003,46.830002,33.599998,55.959999,75.620003,51.505199,64.580002,127.150002,24.440001,41.834789,90.010002,42.139999,28.549999,36.240002,114.889999,73.980003,102.980003,52.150002,68.529999,74.680000,103.889999,50.220001,99.820000,90.290001,108.080002,65.639999,38.709999,83.349998,77.527977,86.680000,48.270000,44.544998,59.910000,58.700001,87.029999,129.050003,117.893959,48.360001,41.639999,134.080261,86.449997,60.520000,65.120003,92.339996,107.309998,123.620003,141.460007,169.800003,108.169998,27.549999,92.250000,44.973824,77.190002,4.731143,92.379997,25.339878,26.223055,160.500000,46.570000,27.620001,33.060001,25.559999,74.570000,126.519997,19.459999,22.150000,49.799999,130.231262,101.980003,87.220001,47.139999,26.309647,111.739998,35.948879,65.129997,106.330002,26.389999,82.839996,49.160000,60.250000,26.034237,55.020000,65.709999,33.083328,76.550003,35.709999,52.540001,53.259998,186.100006,43.400002,48.081394,77.900002,166.929993,74.059998,67.690002,84.138405,188.110001,90.870003
2015-01-06,26.565001,45.650002,0.479750,25.332001,57.200001,70.529999,35.279999,43.139999,149.206497,2.630000,72.879997,57.500000,20.308332,42.160000,17.910000,3.988125,13.266000,5.990000,79.419998,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,58.980000,16.860001,184.529999,64.375000,88.629997,79.089996,36.419998,28.139999,82.309998,38.279999,74.849998,342.100006,13.030000,9.810000,23.910000,18.809999,9.920000,103.279999,98.919998,29.810247,64.330002,101.459999,139.089996,58.480000,97.650002,396.890015,183.180939,42.630001,117.360001,25.940001,52.870586,22.387501,14.764500,100.949997,92.400002,23.156567,37.450001,14.620000,34.849998,69.430000,68.669998,46.919998,33.435001,55.570000,74.669998,51.033241,63.770000,126.949997,24.110001,41.482597,89.599998,42.459999,28.770000,35.990002,113.779999,73.970001,103.320000,52.020000,67.809998,73.989998,104.330002,49.230000,100.459999,89.809998,108.029999,62.930000,38.330002,81.720001,76.869102,84.209999,47.680000,44.105000,59.259998,57.500000,86.470001,127.529999,115.353966,47.220001,40.459999,132.650497,85.730003,60.419998,64.389999,91.070000,106.080002,121.809998,142.250000,169.789993,107.459999,27.209999,89.389999,44.481674,76.150002,4.650143,91.889999,25.377644,25.880976,156.309998,45.959999,27.930000,31.980000,24.820000,74.080002,124.900002,20.270000,22.530001,49.799999,130.185013,98.930000,86.956665,46.459999,25.886835,111.464996,36.213211,64.980003,105.309998,26.492500,84.199997,49.750000,60.580002,25.834522,54.505001,66.080002,33.074013,76.160004,35.900002,52.680000,53.290001,191.279999,43.549999,48.711239,79.010002,169.199997,74.480003,67.480003,86.011192,191.320007,91.330002
2015-01-07,26.937500,46.230000,0.478500,25.257500,56.930000,71.110001,36.020000,43.150002,148.231354,2.580000,73.730003,57.380001,20.921667,42.209999,18.420000,4.071250,13.418000,6.076000,79.349998,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,59.070000,16.940001,187.279999,65.237503,90.300003,79.989998,36.939999,28.690001,83.519997,39.070000,75.550003,349.339996,13.130000,9.870000,24.000000,19.020000,10.050000,105.559998,99.930000,30.218216,66.930000,103.839996,141.729996,59.240002,99.480003,407.720001,189.610901,43.509998,120.660004,26.570000,54.333332,22.690001,14.921000,104.410004,94.010002,23.118687,38.529999,15.040000,35.840000,70.269997,70.830002,47.834999,34.119999,57.650002,76.379997,51.854038,64.779999,130.580002,25.350000,43.529125,90.070000,42.990002,29.533333,37.119999,114.570000,76.769997,105.139999,53.119999,68.349998,74.330002,106.120003,49.970001,103.050003,90.720001,107.940002,63.349998,39.360001,81.709999,76.879082,83.680000,47.310001,44.470001,58.599998,57.770000,87.809998,129.509995,115.401894,46.970001,40.799999,133.612045,85.360001,60.290001,64.580002,92.059998,106.260002,122.760002,142.929993,171.039993,108.459999,27.190001,88.580002,45.193718,76.150002,4.674286,92.830002,25.052870,25.857546,156.789993,46.810001,28.100000,32.209999,25.110001,74.330002,126.300003,20.090000,22.860001,49.799999,131.591125,100.379997,88.440002,46.889999,25.845148,111.959999,37.150379,66.209999,107.769997,26.735001,84.470001,50.299999,61.439999,25.870186,55.384998,67.059998,33.223038,76.470001,36.209999,53.330002,54.070000,194.800003,44.209999,49.505814,79.739998,171.160004,75.580002,68.019997,87.290169,195.240005,92.570000
2015-01-08,27.972500,47.590000,0.496500,25.345501,58.590000,72.919998,36.689999,43.410000,151.453156,2.610000,74.510002,58.799999,21.201668,42.860001,18.610001,4.132500,13.778000,6.242000,82.779999,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,60.389999,17.290001,190.270004,66.112503,91.580002,80.769997,37.490002,29.440001,84.510002,39.610001,77.150002,353.420013,13.400000,10.020000,24.180000,19.450001,10.280000,106.389999,104.699997,30.834915,67.629997,109.129997,147.830002,60.720001,102.300003,403.250000,191.459137,44.180000,123.970001,28.590000,55.098038,22.877501,15.023000,106.720001,94.360001,23.741583,39.110001,15.420000,36.200001,69.510002,71.110001,48.470001,34.299999,59.070000,78.910004,53.290440,66.089996,132.240005,25.930000,44.604740,91.099998,43.509998,30.156668,37.590000,116.989998,77.129997,107.169998,53.570000,69.279999,75.400002,107.309998,49.240002,107.639999,92.230003,110.410004,64.930000,40.209999,82.699997,77.557930,86.879997,50.020000,45.514999,60.869999,59.820000,88.709999,131.800003,116.791702,48.189999,41.880001,136.814377,86.489998,61.869999,66.889999,94.279999,109.389999,126.639999,145.820007,175.039993,110.410004,28.020000,90.470001,46.062828,78.180000,4.778000,93.790001,25.302114,26.419868,162.940002,48.130001,28.459999,32.470001,25.830000,75.500000,128.380005,19.980000,23.370001,49.799999,134.634598,102.620003,90.860001,48.029999,26.488300,114.940002,38.207699,68.279999,111.910004,26.897499,84.809998,50.340000,61.970001,26.069901,55.880001,67.480003,33.092644,77.370003,36.630001,53.919998,54.160000,194.520004,44.220001,48.197674,79.410004,172.750000,76.430000,68.910004,86.867645,197.899994,93.629997
2015-01-09,28.002501,47.189999,0.498500,25.035999,58.160000,71.839996,36.759998,43.389999,152.112808,2.630000,74.419998,58.270000,20.969999,42.930000,18.549999,4.151250,13.422000,6.214000,82.599998,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,59.340000,16.980000,187.350006,65.132500,90.419998,79.370003,36.880001,28.450001,83.870003,39.029999,76.029999,349.230011,13.020000,9.730000,23.889999,18.930000,9.990000,104.940002,103.720001,30.977230,65.779999,108.000000,146.750000,60.320000,102.209999,411.040009,189.494156,44.250000,122.209999,29.160000,55.376472,22.945000,14.846500,104.889999,93.209999,23.413300,38.060001,15.210000,35.590000,68.120003,69.459999,47.599998,33.875000,58.630001,78.730003,52.756920,65.040001,131.570007,26.059999,44.538109,90.250000,43.029999,29.783333,37.220001,115.940002,76.430000,106.410004,53.029999,68.599998,74.900002,106.620003,48.820000,107.339996,92.099998,108.209999,64.919998,39.799999,81.220001,77.408180,87.459999,48.650002,44.244999,60.689999,60.410000,87.650002,131.539993,115.162270,46.880001,40.790001,135.133774,85.650002,60.900002,66.059998,93.570000,107.510002,125.849998,143.600006,172.660004,109.599998,27.530001,89.290001,45.780106,77.739998,4.704143,94.250000,25.226585,26.377693,161.979996,47.509998,27.870001,32.029999,25.290001,74.839996,126.650002,20.719999,23.450001,49.799999,132.617950,101.330002,91.473335,47.779999,26.446615,113.485001,38.712330,68.290001,109.779999,26.660000,84.930000,49.700001,61.639999,26.027103,55.375000,67.129997,32.924992,76.500000,36.180000,53.619999,53.480000,196.570007,44.150002,48.769379,79.489998,173.279999,77.000000,68.180000,86.856232,198.500000,93.360001
2015-01-12,27.312500,46.599998,0.492250,24.853001,57.730000,71.120003,36.599998,43.270000,149.560226,2.630000,73.570000,57.290001,21.213333,42.500000,18.360001,4.129375,13.638000,6.168000,83.489998,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,58.830002,16.680000,185.070007,65.004997,89.500000,79.059998,36.369999,28.170000,82.930000,38.470001,75.370003,346.929993,12.860000,9.540000,23.879999,18.639999,10.010000,104.580002,102.550003,31.091082,65.760002,106.180000,145.509995,62.180000,101.209999,413.329987,184.922180,43.419998,118.309998,27.190001,54.847057,22.879999,14.570500,104.419998,93.010002,23.232323,39.090000,15.220000,35.840000,67.110001,69.430000,47.915001,33.700001,62.590000,77.910004,52.223400,64.349998,129.839996,26.080000,44.804634,89.919998,42.639999,30.006666,36.869999,115.760002,76.629997,105.430000,52.650002,68.260002,74.260002,106.360001,48.209999,106.970001,90.330002,105.879997,63.070000,38.540001,78.050003,74.822586,84.510002,47.369999,42.709999,58.459999,59.130001,86.889999,130.869995,114.922646,46.060001,40.250000,134.397995,85.449997,60.169998,65.480003,93.139999,106.000000,125.790001,142.559998,172.570007,109.639999,26.680000,85.779999,45.308903,76.720001,4.554714,94.459999,25.294561,26.321463,163.850006,47.060001,27.870001,31.639999,25.000000,74.400002,126.370003,21.190001,23.070000,49.799999,131.702133,100.760002,90.366669,46.000000,26.291782,113.125000,38.856510,68.250000,110.089996,26.592501,85.010002,49.709999,61.560001,26.126961,55.075001,66.900002,32.757339,76.500000,35.860001,53.459999,53.330002,196.759995,44.599998,49.447674,80.690002,174.779999,77.889999,68.820000,87.861137,198.149994,93.970001
2015-01-13,27.555000,46.360001,0.491500,25.090000,57.970001,70.589996,36.500000,42.930000,149.913956,2.660000,72.970001,57.340000,20.791668,42.400002,18.430000,4.079375,13.454000,6.180000,83.849998,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,58.840000,16.450001,184.929993,65.195000,89.230003,78.389999,36.029999,28.190001,83.059998,38.400002,75.190002,347.980011,12.700000,9.390000,23.870001,18.510000,9.980000,104.760002,103.070000,30.777988,63.389999,106.830002,146.839996,63.119999,97.209999,406.489990,180.048645,42.810001,120.599998,27.570000,54.721569,23.122499,14.737000,103.730003,92.830002,23.202862,39.099998,15.210000,35.250000,67.800003,68.000000,47.430000,33.580002,63.060001,77.419998,52.633801,64.269997,128.809998,24.820000,44.052654,90.300003,42.630001,29.770000,36.630001,116.080002,75.949997,106.669998,52.709999,68.730003,74.519997,106.779999,48.279999,106.300003,90.000000,104.199997,62.439999,38.290001,77.779999,74.842552,85.059998,45.950001,40.430000,58.459999,58.889999,86.370003,131.169998,114.347557,46.610001,40.480000,134.297653,85.889999,60.080002,65.459999,93.029999,104.480003,124.169998,141.339996,171.500000,110.110001,26.469999,85.809998,45.403141,76.449997,4.625571,95.190002,25.294561,26.635426,164.399994,46.419998,27.690001,31.209999,25.270000,74.430000,125.500000,20.360001,21.040001,49.799999,131.008331,101.919998,89.713333,45.660000,25.970207,113.495003,37.967400,67.360001,108.750000,26.697500,85.470001,49.680000,61.869999,26.041368,55.404999,66.769997,32.412720,76.440002,36.150002,53.720001,53.680000,196.889999,43.709999,49.544575,80.870003,174.600006,77.089996,69.790001,88.192307,198.919998,94.279999
2015-01-14,27.450001,45.959999,0.493500,25.296499,57.250000,69.989998,36.349998,43.060001,148.948380,2.630000,72.220001,56.410000,21.049999,42.230000,18.260000,4.066250,13.268000,6.184000,81.010002,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,56.810001,16.040001,180.229996,63.889999,87.070000,76.750000,35.209999,27.230000,81.769997,37.430000,73.349998,345.750000,12.420000,9.160000,23.440001,18.209999,9.850000,104.000000,103.330002,30.815939,63.700001,107.440002,147.550003,62.950001,99.260002,404.309998,177.441635,43.029999,120.379997,28.070000,54.545097,23.270000,14.663500,102.639999,91.540001,22.739899,39.910000,15.110000,34.299999,67.650002,67.370003,46.314999,33.115002,63.400002,76.570000,53.208359,63.419998,128.750000,25.139999,43.557678,89.989998,42.560001,28.870001,36.549999,116.230003,74.330002,107.019997,52.919998,68.449997,74.120003,106.949997,47.450001,108.430000,89.739998,103.900002,62.619999,38.340000,78.389999,75.351685,87.739998,44.860001,38.814999,59.529999,58.500000,86.070000,130.380005,113.964165,45.310001,39.439999,133.645493,86.480003,59.619999,64.239998,92.839996,104.870003,122.370003,142.399994,172.750000,109.370003,26.340000,84.000000,44.879581,76.279999,4.632000,94.230003,25.173716,26.157452,158.130005,46.900002,27.840000,30.000000,24.680000,74.680000,124.589996,19.760000,18.740000,49.799999,129.444962,101.330002,89.739998,44.410000,25.863014,113.485001,35.924850,67.739998,106.660004,26.862499,85.690002,50.189999,62.759998,26.333809,55.730000,67.489998,32.803909,76.449997,36.470001,54.360001,54.150002,198.630005,43.720001,50.096897,81.900002,176.850006,78.080002,71.019997,88.637665,198.820007,94.839996
2015-01-15,26.705000,45.480000,0.490000,25.200500,55.110001,70.290001,36.189999,42.630001,147.772461,2.520000,71.379997,55.709999,20.346666,41.730000,17.730000,3.950625,12.726000,6.054000,78.059998,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,54.990002,15.200000,178.490005,63.282501,85.879997,76.949997,34.580002,26.670000,81.029999,37.250000,72.779999,342.450012,12.160000,8.990000,22.959999,18.020000,9.710000,102.489998,104.459999,30.740038,62.889999,106.860001,147.919998,61.630001,97.400002,397.119995,175.982483,42.939999,117.779999,26.840000,54.054901,22.897499,14.347500,101.010002,91.379997,22.314816,34.299999,14.860000,33.430000,65.870003,66.410004,45.570000,32.639999,62.509998,76.099998,52.531200,62.230000,127.139999,23.180000,40.435539,89.860001,42.380001,29.126667,36.540001,116.230003,75.669998,108.459999,53.450001,68.320000,73.709999,107.389999,47.209999,108.180000,88.959999,102.669998,61.410000,37.330002,76.629997,75.860817,86.529999,44.070000,38.424999,60.000000,57.860001,84.320000,130.139999,113.005676,45.049999,38.900002,133.494980,87.199997,59.380001,64.070000,92.169998,104.800003,119.930000,141.520004,173.850006,109.290001,25.790001,83.110001,44.659687,74.050003,4.625143,94.349998,25.120846,26.241798,160.490005,46.639999,27.700001,29.469999,24.459999,73.150002,124.470001,21.510000,18.330000,49.799999,129.010178,100.680000,90.196671,44.209999,25.791553,113.099998,35.972912,66.220001,104.580002,26.760000,86.760002,50.799999,63.160000,26.583452,56.070000,68.370003,32.897049,77.169998,36.790001,55.049999,55.090000,200.070007,43.770000,50.591084,83.169998,177.500000,78.529999,71.529999,88.740433,199.440002,95.250000
2015-01-16,26.497499,46.240002,0.499000,25.523001,56.639999,71.730003,36.450001,43.509998,150.229446,2.390000,71.290001,56.849998,20.834999,42.410000,18.330000,4.033750,12.792000,6.184000,78.400002,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,55.930000,15.380000,177.229996,63.737499,86.040001,76.650002,34.889999,26.900000,81.500000,37.459999,73.660004,348.070007,12.400000,9.070000,23.190001,18.299999,9.920000,104.040001,105.769997,31.119545,64.540001,107.889999,149.940002,62.310001,100.709999,408.690002,178.813232,44.220001,122.860001,27.600000,54.705883,23.264999,14.537000,104.120003,91.489998,22.584175,34.990002,15.020000,33.680000,67.629997,66.709999,46.450001,33.375000,63.000000,75.889999,53.064720,63.509998,129.720001,23.760000,41.120888,91.250000,42.529999,28.923332,36.939999,117.650002,74.940002,110.660004,53.410000,69.169998,74.220001,109.080002,47.680000,111.599998,91.120003,105.120003,63.080002,39.130001,81.330002,77.927299,90.309998,45.400002,38.779999,62.250000,60.700001,83.860001,130.779999,113.053596,45.840000,39.480000,135.451508,87.300003,60.349998,64.589996,93.290001,104.690002,120.000000,140.860001,176.759995,110.300003,26.370001,82.309998,44.502617,75.180000,4.819143,95.180000,25.528702,26.602625,161.110001,48.090000,29.209999,29.420000,25.030001,73.580002,123.529999,22.290001,19.240000,49.799999,129.241440,102.209999,91.273331,44.419998,26.672909,115.190002,36.717838,66.889999,107.940002,27.055000,87.349998,51.349998,63.570000,26.661913,56.474998,69.099998,32.906361,77.760002,37.020000,55.860001,55.549999,200.800003,44.150002,51.143410,84.309998,179.080002,79.389999,72.099998,89.071602,202.250000,96.699997
2015-01-20,27.180000,46.389999,0.500500,25.497000,57.290001,71.489998,36.090000,43.900002,150.047806,2.240000,72.480003,57.099998,20.743334,42.169998,18.139999,4.091875,12.966000,6.208000,78.320000,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,55.709999,15.260000,175.630005,64.209999,87.260002,77.389999,34.750000,26.750000,81.360001,37.240002,73.199997,346.589996,12.260000,8.740000,23.100000,18.080000,9.770000,101.290001,105.620003,31.404175,63.450001,108.459999,148.970001,62.450001,103.779999,421.109985,191.371597,43.560001,124.739998,27.190001,54.313725,23.332500,14.472000,103.250000,90.800003,22.592592,34.040001,15.010000,33.930000,67.339996,67.250000,45.904999,33.110001,63.000000,76.320000,52.900558,62.810001,127.160004,22.950001,40.292759,91.190002,43.160000,28.896667,37.020000,117.529999,73.669998,110.379997,54.400002,68.959999,74.529999,108.599998,47.200001,111.000000,91.089996,106.470001,63.189999,39.830002,80.480003,77.877380,89.330002,46.509998,40.209999,60.160000,59.639999,83.970001,131.220001,114.299629,49.169998,40.790001,135.401337,87.129997,60.480000,64.800003,93.410004,105.449997,121.120003,142.029999,179.130005,111.309998,26.379999,84.470001,44.115185,76.239998,4.982857,94.739998,25.641994,26.152765,156.130005,47.810001,29.040001,29.250000,24.850000,73.739998,124.910004,23.570000,19.270000,49.799999,130.786316,102.559998,90.836670,44.090000,26.279873,114.080002,37.366650,66.989998,108.529999,27.232500,87.690002,51.660000,63.529999,26.569187,56.834999,69.989998,33.148525,78.370003,37.270000,55.759998,55.360001,199.630005,43.840000,51.104652,83.370003,175.570007,77.980003,72.779999,89.996574,202.580002,95.529999
2015-01-21,27.387501,45.919998,0.507500,26.019501,57.709999,71.540001,36.480000,43.490002,145.401535,2.450000,71.589996,57.549999,20.891666,42.430000,18.340000,4.017500,13.104000,6.238000,80.389999,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,55.889999,15.410000,177.149994,64.320000,87.669998,77.209999,34.730000,26.700001,81.209999,37.549999,74.739998,349.500000,12.330000,8.710000,23.280001,17.530001,9.760000,101.900002,109.320000,30.967743,62.700001,110.129997,153.279999,61.950001,103.580002,418.109985,186.546692,44.250000,125.089996,26.370001,54.180393,23.262501,14.862500,103.529999,90.339996,22.466330,34.099998,14.970000,33.889999,67.209999,67.809998,46.084999,33.005001,62.860001,76.260002,53.105759,63.009998,128.350006,23.410000,41.187519,90.730003,43.360001,28.879999,37.150002,117.589996,73.949997,110.199997,54.080002,68.349998,73.980003,108.820000,47.700001,110.529999,91.870003,108.160004,64.540001,40.689999,82.209999,79.105293,90.540001,47.189999,40.474998,62.320000,61.599998,85.370003,132.410004,115.210197,49.180000,41.830002,135.903015,87.629997,60.980000,65.820000,93.730003,106.389999,122.110001,144.729996,178.690002,111.680000,27.170000,87.559998,44.115185,76.739998,5.846857,94.169998,25.679758,26.134022,155.750000,48.070000,29.209999,29.459999,24.780001,74.629997,125.669998,24.320000,19.850000,49.799999,132.377426,104.000000,91.073334,44.009998,26.643133,114.014999,38.255760,67.980003,110.349998,27.472500,88.680000,52.009998,64.139999,27.097004,57.250000,70.449997,33.549026,79.269997,37.580002,56.450001,55.759998,200.220001,44.029999,51.114342,82.430000,176.940002,77.730003,72.589996,89.459862,201.009995,95.959999
2015-01-22,28.100000,47.130001,0.516250,26.865000,58.000000,73.480003,36.910000,44.049999,148.556412,2.470000,71.910004,58.270000,20.613333,43.169998,18.360001,3.968750,13.228000,6.286000,81.400002,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,57.590000,16.090000,182.039993,64.400002,84.370003,76.199997,35.529999,27.650000,83.160004,38.720001,77.089996,360.790009,13.270000,9.190000,24.139999,17.910000,10.150000,103.760002,113.849998,31.129032,62.980000,112.180000,153.649994,62.090000,105.139999,420.809998,188.608948,44.509998,127.300003,26.879999,55.905884,23.415001,15.516000,106.070000,90.889999,24.053030,34.889999,15.030000,33.820000,69.769997,70.250000,47.130001,33.750000,63.759998,78.480003,54.870480,64.239998,132.559998,23.690001,41.720566,91.620003,43.779999,29.433332,37.590000,118.980003,75.769997,110.779999,54.779999,69.320000,75.110001,110.110001,48.080002,111.400002,92.870003,108.919998,65.300003,40.820000,82.139999,78.725937,90.360001,48.000000,41.985001,63.759998,61.250000,86.820000,135.639999,116.360382,50.700001,45.349998,138.704010,89.510002,59.810001,67.680000,94.599998,108.519997,122.989998,147.330002,181.399994,114.250000,27.240000,86.029999,44.586388,77.650002,6.120571,95.150002,25.521149,26.508904,158.990005,49.360001,29.709999,30.059999,25.330000,75.440002,127.459999,24.290001,20.020000,49.799999,133.506012,106.370003,92.370003,44.849998,27.012350,115.675003,38.544121,69.919998,110.959999,27.387501,88.629997,52.130001,64.080002,26.569187,57.255001,70.050003,33.250980,78.720001,37.520000,56.610001,55.560001,204.029999,45.119999,51.540699,82.989998,178.960007,79.309998,73.510002,91.424004,205.220001,98.160004
2015-01-23,28.245001,47.180000,0.517750,27.097500,58.619999,74.059998,36.450001,44.189999,149.015289,2.450000,72.180000,58.189999,21.135000,43.520000,18.450001,3.963125,13.748000,6.386000,83.199997,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,56.680000,15.730000,180.490005,64.572502,84.129997,77.599998,35.150002,27.190001,82.169998,36.900002,72.400002,355.119995,13.270000,9.010000,23.709999,17.670000,10.040000,102.199997,112.000000,30.787476,62.430000,109.970001,151.470001,62.070000,105.540001,420.209991,191.789886,44.119999,125.570000,27.160000,56.207844,23.350000,15.619500,105.370003,89.559998,23.888889,35.009998,14.910000,33.750000,69.500000,72.070000,47.334999,33.814999,66.199997,78.510002,54.501122,64.870003,135.339996,23.100000,41.625378,90.080002,43.310001,29.503332,36.939999,111.650002,75.290001,108.620003,54.560001,67.139999,73.699997,108.400002,47.869999,110.610001,90.889999,106.849998,64.650002,40.990002,82.000000,78.715958,90.790001,50.160000,43.580002,62.880001,60.160000,85.610001,134.619995,117.318871,50.560001,45.779999,137.140472,88.349998,58.119999,67.010002,93.559998,106.860001,121.970001,145.850006,176.009995,102.930000,27.350000,88.430000,44.387436,77.830002,6.249429,94.720001,25.203926,26.387068,158.929993,49.790001,29.860001,29.840000,25.469999,74.360001,126.339996,24.150000,19.240000,49.799999,132.710449,105.879997,91.336670,43.799999,26.541897,113.904999,37.871281,69.739998,109.830002,27.370001,88.720001,52.230000,64.519997,26.654779,57.540001,70.370003,33.316177,79.089996,37.759998,56.950001,55.840000,203.110001,45.310001,51.879845,83.230003,178.899994,79.800003,73.650002,91.846519,202.750000,98.400002
2015-01-26,28.275000,47.009998,0.515500,26.836000,59.779999,72.739998,35.810001,43.900002,149.483749,2.610000,72.610001,58.230000,21.155001,44.020000,18.580000,4.021875,13.602000,6.490000,82.779999,21.000000,18.000000,39.730000,62.000000,58.000000,33.000000,23.510000,28.790001,56.770000,15.850000,180.419998,64.132500,83.300003,78.190002,35.110001,27.360001,82.919998,37.419998,73.279999,357.390015,13.480000,9.080000,24.090000,17.930000,10.170000,102.260002,111.610001,31.119545,62.830002,109.410004,152.000000,62.459999,107.110001,423.769989,196.186768,44.090000,125.120003,27.650000,56.309803,23.362499,15.483000,106.360001,90.669998,23.594276,35.830002,15.080000,33.700001,68.839996,70.360001,47.615002,34.070000,66.760002,79.419998,55.219318,64.769997,136.080002,24.379999,42.729549,89.580002,43.000000,29.543333,36.580002,109.849998,75.250000,109.330002,54.950001,66.290001,72.860001,108.150002,48.290001,111.720001,91.760002,108.879997,65.820000,41.459999,83.680000,80.183456,92.330002,51.189999,44.095001,64.470001,61.720001,86.029999,134.070007,117.846031,50.150002,46.400002,137.324417,88.430000,59.430000,66.820000,93.730003,107.250000,122.760002,147.850006,176.660004,102.349998,27.559999,90.459999,44.188480,77.500000,6.379429,94.970001,25.060423,26.565136,158.179993,49.480000,30.500000,30.059999,25.700001,74.589996,124.519997,24.490000,19.559999,49.799999,132.358932,107.019997,91.763336,44.330002,26.535940,113.910004,38.640240,70.519997,112.430000,27.437500,88.550003,52.230000,64.570000,26.633381,57.264999,70.410004,33.260296,78.930000,37.660000,57.020000,55.799999,205.160004,45.849998,53.023254,83.080002,180.270004,80.099998,74.050003,92.097748,204.389999,100.089996
